#AllowSameLineComments	docs/commands/_AllowSameLineComments.htm
#ClipboardTimeout	docs/commands/_ClipboardTimeout.htm
#CommentFlag	docs/commands/_CommentFlag.htm
#Delimiter	docs/commands/_EscapeChar.htm#Delimiter
#DerefChar	docs/commands/_EscapeChar.htm#DerefChar
A_IconTip	docs/Variables.htm#IconTip
A_Index	docs/commands/Loop.htm
A_IPAddress1 through 4	docs/Variables.htm#IPAddress
A_IsAdmin	docs/Variables.htm#IsAdmin
A_IsCompiled	docs/Variables.htm#IsCompiled
A_IsCritical	docs/Variables.htm#IsCritical
A_IsPaused	docs/Variables.htm#IsPaused
A_IsSuspended	docs/Variables.htm#IsSuspended
A_IsUnicode	docs/Variables.htm#IsUnicode
A_KeyDelay	docs/Variables.htm#KeyDelay
A_Language	docs/Variables.htm#Language
A_Language Values	docs/misc/Languages.htm
A_LastError	docs/Variables.htm#LastError
A_LineFile	docs/Variables.htm#LineFile
A_LineNumber	docs/Variables.htm#LineNumber
A_LoopField	docs/commands/LoopParse.htm#LoopField
A_LoopFileAttrib	docs/commands/LoopFile.htm#LoopFileAttrib
A_LoopFileDir	docs/commands/LoopFile.htm#LoopFileDir
A_LoopFileExt	docs/commands/LoopFile.htm#LoopFileExt
A_LoopFileFullPath	docs/commands/LoopFile.htm#LoopFileFullPath
A_LoopFileLongPath	docs/commands/LoopFile.htm#LoopFileLongPath
A_LoopFileName	docs/commands/LoopFile.htm#LoopFileName
A_LoopFileShortName	docs/commands/LoopFile.htm#LoopFileShortName
A_LoopFileShortPath	docs/commands/LoopFile.htm#LoopFileShortPath
A_LoopFileSize	docs/commands/LoopFile.htm#LoopFileSize
A_LoopFileSizeKB	docs/commands/LoopFile.htm#LoopFileSizeKB
A_LoopFileSizeMB	docs/commands/LoopFile.htm#LoopFileSizeMB
A_LoopFileTimeAccessed	docs/commands/LoopFile.htm#LoopFileTimeAccessed
A_LoopFileTimeCreated	docs/commands/LoopFile.htm#LoopFileTimeCreated
A_LoopFileTimeModified	docs/commands/LoopFile.htm#LoopFileTimeModified
A_LoopReadLine	docs/commands/LoopReadFile.htm#LoopReadLine
A_LoopRegKey	docs/commands/LoopReg.htm
A_LoopRegName	docs/commands/LoopReg.htm
A_LoopRegSubKey	docs/commands/LoopReg.htm
A_LoopRegTimeModified	docs/commands/LoopReg.htm
A_LoopRegType	docs/commands/LoopReg.htm
A_MDay	docs/Variables.htm#DD
A_Min	docs/Variables.htm#Min
A_MM	docs/Variables.htm#MM
A_MMM	docs/Variables.htm#MMM
A_MMMM	docs/Variables.htm#MMMM
A_Mon	docs/Variables.htm#MM
A_MouseDelay	docs/Variables.htm#MouseDelay
A_MSec	docs/Variables.htm#MSec
A_MyDocuments	docs/Variables.htm#MyDocuments
A_Now	docs/Variables.htm#Now
A_NowUTC	docs/Variables.htm#NowUTC
A_NumBatchLines	docs/Variables.htm#BatchLines
A_OSType	docs/Variables.htm#OSType
A_OSVersion	docs/Variables.htm#OSVersion
A_PriorHotkey	docs/Variables.htm#PriorHotkey
A_PriorKey	docs/Variables.htm#PriorKey
A_ProgramFiles	docs/Variables.htm#ProgramFiles
A_Programs	docs/Variables.htm#Programs
A_ProgramsCommon	docs/Variables.htm#ProgramsCommon
A_PtrSize	docs/Variables.htm#PtrSize
A_ScreenHeight	docs/Variables.htm#Screen
A_ScreenWidth	docs/Variables.htm#Screen
A_ScriptDir	docs/Variables.htm#ScriptDir
A_ScriptFullPath	docs/Variables.htm#ScriptFullPath
A_ScriptHwnd	docs/Variables.htm#ScriptHwnd
A_ScriptName	docs/Variables.htm#ScriptName
A_Sec	docs/Variables.htm#Sec
A_Space	docs/Variables.htm#Space
A_StartMenu	docs/Variables.htm#StartMenu
A_StartMenuCommon	docs/Variables.htm#StartMenuCommon
A_Startup	docs/Variables.htm#Startup
A_StartupCommon	docs/Variables.htm#StartupCommon
A_StringCaseSense	docs/Variables.htm#StringCaseSense
A_Tab	docs/Variables.htm#Tab
A_Temp	docs/Variables.htm#Temp
A_ThisFunc	docs/Variables.htm#ThisFunc
A_ThisHotkey	docs/Variables.htm#ThisHotkey
A_ThisLabel	docs/Variables.htm#ThisLabel
A_ThisMenu	docs/Variables.htm#ThisMenu
A_ThisMenuItem	docs/Variables.htm#ThisMenuItem
A_ThisMenuItemPos	docs/Variables.htm#ThisMenuItemPos
A_TickCount	docs/Variables.htm#TickCount
A_TimeIdle	docs/Variables.htm#TimeIdle
A_TimeIdlePhysical	docs/Variables.htm#TimeIdlePhysical
A_TimeSincePriorHotkey	docs/Variables.htm#TimeSincePriorHotkey
A_TimeSinceThisHotkey	docs/Variables.htm#TimeSinceThisHotkey
A_TitleMatchMode	docs/Variables.htm#TitleMatchMode
A_TitleMatchModeSpeed	docs/Variables.htm#TitleMatchModeSpeed
A_UserName	docs/Variables.htm#UserName
A_WDay	docs/Variables.htm#WDay
A_WinDelay	docs/Variables.htm#WinDelay
A_WinDir	docs/Variables.htm#WinDir
A_WorkingDir	docs/Variables.htm#WorkingDir
A_YDay	docs/Variables.htm#YDay
A_Year	docs/Variables.htm#YYYY
A_YWeek	docs/Variables.htm#YWeek
A_YYYY	docs/Variables.htm#YYYY
abbreviation expansion	docs/Hotstrings.htm
Abs()	docs/Functions.htm#Abs
absolute value, abs()	docs/Functions.htm#Abs
Acknowledgements	docs/misc/acknowledgements.htm
ACos()	docs/Functions.htm#ACos
activate a window	docs/commands/WinActivate.htm
add	docs/commands/EnvAdd.htm
Address of a variable	docs/Variables.htm#amp
administrator privileges for scripts	docs/Variables.htm#RequireAdmin
ahk2exe	docs/Scripts.htm#ahk2exe
ahk_class	docs/LastFoundWindow.htm#class
ahk_exe	docs/LastFoundWindow.htm#exe
ahk_group	docs/LastFoundWindow.htm#group
ahk_id	docs/LastFoundWindow.htm#id
ahk_pid	docs/LastFoundWindow.htm#pid
AllowSameLineComments	docs/commands/_AllowSameLineComments.htm
alnum	docs/commands/IfIs.htm
alpha	docs/commands/IfIs.htm
AltGr	docs/Hotkeys.htm#AltGr
AltTab	docs/Hotkeys.htm#alttab
AlwaysOnTop (WinSet)	docs/commands/WinSet.htm
append to file	docs/commands/FileAppend.htm
Arrays	docs/misc/Arrays.htm
Asc()	docs/Functions.htm#Asc
ASCII conversion	docs/commands/Transform.htm
ASin()	docs/Functions.htm#ASin
assigning values to variables	docs/Variables.htm#AssignOp
ATan()	docs/Functions.htm#ATan
attributes of files and folders	docs/commands/FileGetAttrib.htm
auto-execute section	docs/Scripts.htm
auto-replace text as you type it	docs/Hotstrings.htm
